pmid,doi,title,abstract,journal,year,authors,keywords,citation_count,source,url
,10.1093/aje/kwaf223,Improving classification of myocardial infarction with machine learning in a diverse population.,"Phenotype classification with electronic health record (EHR) data is increasingly performed with ML, however their performance in diverse populations remains understudied. We compared an ICD-based algorithm with an ML phenotyping pipeline to classify myocardial infarction (MI) in a general and self-reported Black population. We determined the impact of differential performance by replicating a published MI risk factor study with MI defined by the ICD or ML algorithms. Individuals followed in the Veterans Health Administration (VHA) EHR with data from 2002 to 2019 were examined: 11,523,175 Veterans, mean age 67.5 years, 93.8% male, 14.3% Black, 79.1% White. MI was classified using a published rule-based ICD algorithm and an ML pipeline, PheCAP which incorporates natural language processing. Algorithms were trained and validated against n=403 Veterans randomly selected and chart-reviewed for MI (gold standard), oversampled for self-reported Black. Among chart-reviewed Veterans, the ICD algorithm had high PPV and low sensitivity (all race, PPV:0.97, sensitivity:0.17; Black Veterans, PPV:0.94, sensitivity:0.24). PheCAP MI had good PPV and higher sensitivity (all race, PPV:0.90, sensitivity:0.66; Black, PPV:0.81, sensitivity:0.79). Applying PheCAP MI to the entire VHA population to classify MI provided increased power to replicate findings from the published MI risk factor study compared to the ICD algorithm.",American journal of epidemiology,,"['AliciaChen', 'ChuanHong', 'Yuk LamHo', 'NicholasLink', 'Jacqueline PHonerlaw', 'VidishaTanukonda', 'Ariela ROrkaby', 'SaadiaQazi', 'ConnorMelley', 'AshleyGalloway', 'LaurenCosta', 'MonikaMaripuri', 'XuanWang', 'YichiZhang', 'PetraSchubert', 'TianrunCai', 'ZelingHe', 'Vidul APanickan', 'MorganRosser', 'LauraTarko', 'SharonDowell', 'CandaceFeldman', 'GailKerr', 'J MichaelGaziano', 'Peter W FWilson', 'KellyCho', 'TianxiCai', 'Katherine PLiao']",,,PubMed,
,10.1007/s43465-025-01461-y,Data-Driven Strategies in Orthopaedics: Optimizing Surgical Precision and Patient Outcomes.,"Incorporating data-driven technologies in orthopaedic surgery transforms clinical outcomes and enhances surgical precision. These advancements include predictive modelling, machine learning, Internet of Things (IoT)-enabled devices, and data visualization tools. This review aims to examine the current state of data-driven methods in orthopaedic surgery, highlight their clinical impact, and address existing challenges and future directions.
A comprehensive literature search was conducted across databases such as PubMed, Scopus, and Web of Science to identify relevant studies exploring data-driven technologies' applications in orthopaedic settings. The analysis focused on preoperative planning, intraoperative guidance, and postoperative monitoring while considering ethical concerns and implementation challenges in low and middle-income countries.
The findings indicate that 3D imaging and patient-specific surgical guides enhance preoperative planning, improving accuracy and reducing surgical errors. Robot-assisted systems provide real-time intraoperative support, leading to better precision and reduced recovery times. Postoperative monitoring through wearable devices enables continuous patient tracking, allowing for early detection of complications and improved patient engagement. However, challenges related to data privacy, interoperability, and ethical considerations persist, potentially hindering broader adoption.
Integrating data-driven technologies is promising for advancing orthopaedic surgery by improving patient outcomes and surgical success rates. Addressing the identified challenges through ongoing research and interdisciplinary collaboration is essential for facilitating the effective implementation of these innovations in clinical practice. Future studies should focus on using data-driven technologies and ethical guidelines to improve orthopaedic outcomes and overcome challenges, particularly in low- and middle-income countries.
The online version contains supplementary material available at 10.1007/s43465-025-01461-y.",Indian journal of orthopaedics,,"['Janki SharanBhadani', 'RajuVaishya', 'JohnMukhopadhaya']",,,PubMed,
,10.2147/JIR.S536139,Prognostic Value of SIRI in Sepsis: A Retrospective Study and Machine Learning-Based Model Development.,"In recent years, the Systemic Inflammation Response Index (SIRI) has demonstrated unique advantages in evaluating sepsis prognosis. This study aims to investigate the predictive value of SIRI for 28-day outcomes in sepsis patients, and develop and validate a prognostic model for 28-day mortality.
The demographic characteristics, disease severity, laboratory tests, treatments, and outcome measures were recorded from the adult sepsis patients. The restricted cubic splines and the ROC curve analysis were employed to evaluate the relationship and predictive capability of SIRI. Next, SIRI was categorized into tertiles, and univariate and multivariate Cox regression analyses were performed to assess its association with prognosis, supplemented by Kaplan-Meier (K-M) curves, and compare mortality differences. Patients from the First Affiliated Hospital of Soochow University were randomly allocated into training and internal validation sets at a 3:1 ratio, using the Boruta algorithm and LASSO regression and a prognostic model was constructed via logistic regression, while patients from the First People's Hospital of Zhangjiagang City served as the external validation set. Then, the predictive performance, accuracy, and clinical utility of the model were validated using the ROC curve, Hosmer-Lemeshow test, calibration curve, and decision curve analysis (DCA).
The 380 patients from the First Affiliated Hospital of Soochow University and 240 patients from the First People's Hospital of Zhangjiagang City were enrolled for the present study. The restricted cubic spline analysis revealed a nonlinear increasing trend in mortality risk with rising SIRI levels. The ROC curve analysis demonstrated that SIRI has superior predictive capability than the APACHE II and SOFA scores. When SIRI was categorized into tertiles, both the univariate and multivariate Cox regression analyses identified SIRI as significantly associated to 28-day prognosis (
SIRI is significantly correlated to the 28-day prognosis in sepsis patients, and has excellent predictive value for short-term outcomes. The prediction model that incorporated SIRI exhibited high prognostic accuracy.",Journal of inflammation research,,"['YilinZhu', 'ZhiyangWang', 'ShifengLi', 'XinXiao', 'YujieLiu', 'JiachenHe', 'FangHuang', 'JunWang']",,,PubMed,
,10.1016/j.isci.2025.112919,Integrative multi-omics analysis decodes HOXC9-driven malignant transformation and metastasis in OSCC.,"Oral squamous cell carcinoma (OSCC) is a highly prevalent head and neck malignancy with a poor prognosis, often exhibiting resistance to conventional therapies. This highlights an urgent need for reliable biomarkers to facilitate early detection and effective management of recurrent or metastatic cases. Leveraging multi-omics analysis, we identified the HOX gene family as significantly overexpressed and closely associated with OSCC progression. Among these, HOXC9 was prioritized as a key regulator using machine learning algorithms. Mechanistic investigations revealed a strong correlation between HOXC9 expression and DNA hypomethylation at the CDX1 motif, which play a crucial role in regulating MMP13 expression. Single-cell RNA sequencing further elucidated the role of HOXC9 in driving OSCC malignant transformation. Clinical evidence demonstrates that HOXC9 promotes OSCC invasion and metastasis through the ITGA6/PI3K/Akt/MMP13 signaling axis. Additionally, HOXC9 expression appears to be modulated by miR-196, presenting a potential target for therapeutic intervention in OSCC.",iScience,,"['MengyuXu', 'ZewenSun', 'DandanWang', 'GuoxinLi', 'WeiFeng', 'ChunyanQiao', 'CeShi', 'QilinLiu', 'PengChen', 'ZhengwenAn']",,,PubMed,
,10.1177/18333583251378962,Automated data collection in cancer care: State of play among registries in the United Kingdom and Europe.,"Automated clinical coding can use statistical or artificial intelligence-based technology to transform unstructured clinical data into clinical codes. These processes have the potential to enhance the quality and accuracy of data collections, save resources and accelerate research.
To evaluate the use of automated clinical coding in the United Kingdom (UK) and European cancer registries.
An online electronic survey was formulated to evaluate the use and user opinion of automation within cancer registries. The survey was distributed to members of the United Kingdom and Ireland Association of Cancer Registry and the European cancer registries. Data analysis was performed using Microsoft Excel 2015
Twenty-three of the 117 cancer registries responded to the distributed survey; 15 (12.8%) cancer registries used automation within their registry, mainly in the form of natural language processing or machine learning. Most of the sampled registries (73.3%) used these technologies to automate data collection from pathology reports; 87% of respondents reported automation as efficient; and 26.1% reported improved data quality; 12 (52.1%) of cancer registries still manually checked all the automations; and 17 (74%) respondents believed that the algorithms for difficult tasks require further development.
Various computer-based algorithms have been used for automated clinical coding in the UK and European cancer registries in the past few decades; however, to date there are no published data to validate its use. Further research and development of these technologies is needed to ensure external validity and maximise the potential use within other cancer registries globally.Implications for health information management practice:It is clear that while automation can be advantageous in areas of clinical coding, the role of the ""human"" (HIMs and clinical coders) in coding and classifying registry data, and in overseeing the transition, will be required for some time yet.",Health information management : journal of the Health Information Management Association of Australia,,"['ManuelaRoman', 'StephenAli', 'NaderIbrahim', 'Thomas DDobbs', 'HayleyHutchings', 'Iain SWhitaker']",,,PubMed,
,10.1097/RTI.0000000000000860,Chest Computed Tomography-Based Radiomics and Machine Learning for Classifying Mediastinal Lymphadenopathy Caused By Hematologic Malignancies and Metastatic Abdominopelvic Solid Cancers.,"To evaluate the role of chest CT radiomics in classifying mediastinal lymphadenopathy caused by hematologic malignancies and abdominopelvic solid cancers.
A total of 231 patients with mediastinal lymphadenopathy were selected from the Mediastinal-Lymph-Node-SEG collection in The Cancer Imaging Archive, including 145 patients with hematologic malignancies (74 with chronic lymphocytic leukemia and 71 with lymphoma) and 86 with abdominopelvic solid cancers. Patients were randomly stratified into train and test sets in a 7:3 ratio. Radiomics features were extracted from enhanced CT images of mediastinal lymph nodes, followed by feature selection using univariate analysis and least absolute shrinkage and selection operator regression. A support vector machine algorithm was used to develop classification models, with performance evaluated using the area under the receiver operating characteristic curve (AUC-ROC), accuracy, and 95% CI.
For differentiating mediastinal lymphadenopathy between hematologic malignancies and abdominopelvic solid cancers, the model incorporated 23 features and achieved an AUC-ROC of 0.931 (95% CI: 0.891-0.971) and an accuracy of 0.866 in the train set, and an AUC-ROC of 0.830 (95% CI: 0.730-0.929) and an accuracy of 0.759 in the test set. For distinguishing chronic lymphocytic leukemia from lymphoma, the model utilized 4 features, achieving an AUC-ROC of 0.880 (95% CI: 0.813-0.947) and an accuracy of 0.752 in the train set, and an AUC-ROC of 0.872 (95% CI: 0.763-0.982) and an accuracy of 0.836 in the test set.
Chest CT radiomics shows promise for classifying mediastinal lymphadenopathy in patients with hematologic malignancies and abdominopelvic solid cancers.",Journal of thoracic imaging,,"['HaoruWang', 'QianHu', 'YingxueTong', 'HuiruZhu', 'LingHe', 'JinhuaCai']",,,PubMed,
,10.1097/MD.0000000000044725,"Physiological responses to physical activity: A multi-sensor wearable study across activity intensity, age, gender, body weight, and BMI variability.","Designing exercise interventions and assessing cardiovascular health depend on an understanding of how physiological parameters react to physical activity. Twenty-two healthy adults (ages 20-53, both sexes, varying fitness levels) participated in this study to examine the effects of 3 activity levels on heart rate (HR), systolic blood pressure (SBP) and diastolic blood pressure, and arterial oxygen saturation (peripheral oxygen saturation). The activities levels were sitting (rest), walking (~3 metabolic equivalents of tasks), and running (~7 metabolic equivalents of tasks), and each lasted roughly 5 minutes. For ongoing physiological monitoring, participants wore a specially designed multi-sensor device that combined force, photoplethysmography, inertial measurement unit, and electrocardiogram sensors. The physiological signals utilized in this investigation were supplemented by internal sensor validation and sourced from open-source datasets made available through PhysioNet. Higher activity intensity was associated with significant increases in HR (P < .001) and SBP (P < .01), according to repeated measures analysis of variance. HR increased stepwise across all activity conditions, while SBP significantly rose from sitting to running. Peripheral oxygen saturation values showed a slight postexercise decline, among older participants (P = .03), but they stayed within normal ranges (>95%). Age and weight were found to have moderate relationships with cardiovascular responses, specifically SBP, according to regression analysis. The random forest model's low predictive accuracy (R2 = 0.057) when predicting HR from physiological and demographic inputs emphasized the necessity for additional behavioral or contextual data. These results demonstrate the impact of age gender weight and body mass index on cardiovascular dynamics while showcasing how multi-sensor wearables detect individual physiological responses. This work's implications support customized exercise recommendations along with hypertension risk assessment and endurance training approaches for both clinical and athletic populations.",Medicine,,['Eyad TalalAttar'],,,PubMed,
,10.1097/MD.0000000000044718,A prediction model for stroke risk based on explainable machine learning.,"This study aims to develop a prediction model based on machine learning algorithms to predict the risk of stroke by analyzing physical activity and other risk factors. We conducted a retrospective analysis of 134 stroke patients treated at the Department of Neurology, the First Affiliated Hospital of Nanjing Medical University, from July 1, 2021, to May 31, 2023, and 354 non-stroke individuals recruited from the Fenghuang Community Health Screening Program in Nanjing during the same period. Eight machine learning models, including extreme gradient boosting, support vector machine, random forest (RF), neural network, Naive Bayesian, logistic regression, K-nearest neighbor, and decision tree, were used to build the prediction models. Variables were selected using the least absolute shrinkage and selection operator and the multivariable logistic regression analysis. The models were evaluated using receiver operating characteristic (ROC) curves, area under the ROC curve, precision-recall (PR) curves, area under the PR curve, accuracy, sensitivity, specificity, and precision. Shapley Additive Explanations were employed to determine feature importance. The results demonstrated that the RF algorithm performed well in terms of area under the ROC curve (0.96), area under the PR curve (0.92), specificity (0.97), and precision (0.92). Shapley Additive Explanations analysis revealed that the number of weekly exercise days had the most significant impact on stroke risk, followed by calf circumference, past medical history, gender, body mass index, and Strength, Assistance with walking, Rising from a chair, Climbing stairs, and Falls score. The RF algorithm demonstrated strong predictive performance for stroke risk and may guide clinical decision-making.",Medicine,,"['QingguiLi', 'XiaoWang', 'QianYe', 'LipingLi', 'XiaopuHe', 'LinglingLiu']",,,PubMed,
,10.1097/MD.0000000000044968,Robust R-peak detection in noisy ECG using deep residual U-Net for enhanced cardiac rhythm analysis.,"Accurate R-peak detection in electrocardiogram (ECG) signals represents a fundamental prerequisite for cardiac rhythm analysis and arrhythmia diagnosis. Traditional signal processing approaches demonstrate limited robustness when confronted with noise artifacts, baseline drift, and morphological variations commonly encountered in clinical recordings. This study introduces a novel deep residual U-Net (ResU-Net) architecture specifically designed for robust R-peak detection in noisy ECG signals, addressing the critical challenge of maintaining high detection accuracy across diverse noise conditions and patient populations. We developed an innovative deep learning framework combining the strengths of residual networks and U-Net architecture for precise R-peak localization. The proposed ResU-Net model incorporates skip connections, multi-scale feature extraction, and attention mechanisms to enhance feature representation. The architecture was trained and evaluated using the Massachusetts Institute of Technology-Beth Israel Hospital (MIT-BIH) arrhythmia database, INCART database, and QT database, with comprehensive noise stress testing performed using the MIT-BIH noise stress test database. Data augmentation strategies including synthetic noise injection and morphological variations were employed to enhance model generalization. The ResU-Net architecture achieved superior performance compared to traditional signal processing methods (Pan-Tompkins, Hamilton-Tompkins algorithms) and state-of-the-art deep learning approaches (1D convolutional neural network (CNN), long short-term memory (LSTM)-CNN, ResNet-18) with sensitivity of 99.76%, positive predictive value of 99.82%, and F1-score of 99.79% on the MIT-BIH arrhythmia database. Cross-database validation demonstrated exceptional generalization capabilities with sensitivity values of 99.45% (INCART) and 99.38% (QT database). Under severe noise conditions (-6 dB signal-to-noise ratio), the model maintained sensitivity above 98.2%, significantly outperforming conventional algorithms and state-of-the-art deep learning approaches. The proposed deep ResU-Net architecture establishes a new benchmark for robust R-peak detection in noisy ECG signals. The integration of residual connections with U-Net's encoder-decoder structure enables superior feature learning and noise resilience, providing a reliable foundation for automated cardiac rhythm analysis in clinical applications.",Medicine,,"['WangChaoya', 'PanChun', 'MengChao']",,,PubMed,
,10.1097/MD.0000000000044871,The predictive model and risk factor identification for peripheral vascular disease and diabetic foot in diabetes based on machine learning models and explainable algorithms.,"Diabetic peripheral vascular disease (DPVD) and diabetic foot (DF) are major complications that lead to disability in diabetic patients, severely impaired their quality of life. Firstly, this study gathered cross-sectional data from 1240 patients with type 2 diabetes and its complications in the the department of vascular surgery and endocrinology of the second affiliated hospital of zhejiang university school of medicine. In the pre-processing part, samples with serious data loss are eliminated, and the data are processed by methods such as MICEforest. After that, random forest (RF), support vector machine (SVM), backpropagation neural network (BPNN), extreme gradient boosting (XGBoost), and SHapley Additive exPlanation (SHAP) were employed to rank the importance of the 27 indicators. The entropy weight method was then applied to comprehensively assign weights to all indexes. Finally, the genetic neural network algorithm (GA-BPNN) was introduced to construct a prediction model for diabetes complications. In addition, the SHAP algorithm was applied to obtain the weight and importance ranking of each risk factor in the prediction model. This study identified the top 17 key indicators through a comprehensive weighting approach. Among the 5 classification models evaluated, the GA-BPNN algorithm exhibited the best performance in both diabetes and DPVD (G1), DPVD and DF (G2), achieving the area under the receiver operating characteristic curve (AUC) values of 0.79 and 0.89, accuracy rates of 0.78 and 0.80, and F1-scores of 0.77 and 0.83, respectively. Furthermore, hypothesis testing results indicate that indicators such as fibrinogen and c-reactive protein show statistically significant differences between groups. SHAP feature importance analysis also highlights the significant influence of these features in identifying diabetic complications. GA-BPNN can be employed as a prediction model for DPVD and DF. In feature selection, the comprehensive weighting method and SHAP analysis identified key features. In summary, this study constructed a comprehensive prediction model based on machine learning and interpretable algorithms, integrating diabetes-specific indicators, traditional cardiovascular risk factors, coagulation function, inflammatory markers, and cardiac structural parameters. It can effectively identify high-risk patients for diabetic complications, uncover potential features, and thereby assist in subsequent efforts to reduce the incidence of these complications.",Medicine,,"['YifengPan', 'GuangrongTao', 'BingChen', 'ChaoZheng', 'GehongLi']",,,PubMed,
